number,cop.lake,cop.isol.date,worm.fam,worm.lake,worm.expo.date,plate,well.numb,date.dissected,infected.yes.no,cop.sex,numb.worm,note,,,,,,,,,,,,,,,
130,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
131,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
132,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
133,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
134,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
135,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
136,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
137,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
138,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
139,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
140,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
141,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
142,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
143,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,y,f,2,,,,,,,,,,,,,,,,
144,ech,10/14/18,g7ax1a,gos,10/16/18,p5,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
145,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
146,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
147,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,y,f,2,,,,,,,,,,,,,,,,
148,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
149,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,y,f,3,,,,,,,,,,,,,,,,
150,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
151,gos,10/14/18,echbulk,ech,10/16/18,p5,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
152,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,2,,,,,,,,,,,,,,,,
153,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,2,,,,,,,,,,,,,,,,
154,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
155,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,2,,,,,,,,,,,,,,,,
156,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,2,,,,,,,,,,,,,,,,
157,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
158,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
159,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
160,gos,10/15/18,echbulk,ech,10/16/18,p2,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
