number,cop.lake,worm.fam,worm.lake,plate,numb.worm,native,genus
355,lau,boobulk,boo,p27,0,FALSE,M
356,lau,boobulk,boo,p27,0,FALSE,M
357,lau,boobulk,boo,p27,0,FALSE,M
358,lau,boobulk,boo,p27,0,FALSE,M
359,lau,boobulk,boo,p27,1,FALSE,M
360,gos,boo2ax2c,boo,p26,0,FALSE,A
361,gos,boo2ax2c,boo,p26,0,FALSE,A
362,gos,boo2ax2c,boo,p26,2,FALSE,A
363,gos,boo2ax2c,boo,p26,1,FALSE,A
364,gos,boo2ax2c,boo,p26,1,FALSE,A
365,gos,boo2ax2c,boo,p26,1,FALSE,A
366,gos,boo2ax2c,boo,p26,2,FALSE,A
367,gos,boo2ax2c,boo,p26,4,FALSE,A
368,gos,boo2ax2c,boo,p26,0,FALSE,A
369,lau,echbulk,ech,p26,0,FALSE,M
370,lau,echbulk,ech,p26,0,FALSE,M
371,lau,echbulk,ech,p26,0,FALSE,M
372,lau,echbulk,ech,p26,0,FALSE,M
373,lau,echbulk,ech,p26,0,FALSE,M
374,lau,echbulk,ech,p26,0,FALSE,M
375,lau,echbulk,ech,p26,0,FALSE,M
376,ech,boo11bx1a,boo,p26,1,FALSE,A
377,ech,boo11bx1a,boo,p26,0,FALSE,A
378,ech,boo11bx1a,boo,p26,3,FALSE,A
379,ech,boo11bx1a,boo,p26,2,FALSE,A
380,ech,boo11bx1a,boo,p26,2,FALSE,A
381,ech,boo11bx1a,boo,p26,2,FALSE,A
382,ech,boo11bx1a,boo,p26,0,FALSE,A
383,ech,boo11bx1a,boo,p26,5,FALSE,A
384,ech,boo11bx1a,boo,p26,0,FALSE,A
385,lau,echbulk,ech,p44,0,FALSE,M
386,lau,echbulk,ech,p44,0,FALSE,M
387,lau,echbulk,ech,p44,0,FALSE,M
388,lau,echbulk,ech,p44,0,FALSE,M
389,lau,echbulk,ech,p44,0,FALSE,M
390,lau,echbulk,ech,p44,0,FALSE,M
391,lau,echbulk,ech,p44,0,FALSE,M
392,ech,boo11bx1a,boo,p44,2,FALSE,A
393,ech,boo11bx1a,boo,p44,3,FALSE,A
394,ech,boo11bx1a,boo,p44,0,FALSE,A
395,ech,boo11bx1a,boo,p44,1,FALSE,A
396,ech,boo11bx1a,boo,p44,0,FALSE,A
397,ech,boo11bx1a,boo,p44,0,FALSE,A
398,ech,boo11bx1a,boo,p44,0,FALSE,A
399,ech,boo11bx1a,boo,p44,1,FALSE,A
400,ech,boo11bx1a,boo,p44,0,FALSE,A
401,gos,boo2ax2c,boo,p44,1,FALSE,A
402,gos,boo2ax2c,boo,p44,1,FALSE,A
403,gos,boo2ax2c,boo,p44,2,FALSE,A
404,gos,boo2ax2c,boo,p44,2,FALSE,A
405,gos,boo2ax2c,boo,p44,2,FALSE,A
406,gos,boo2ax2c,boo,p44,3,FALSE,A
407,gos,boo2ax2c,boo,p44,1,FALSE,A
408,gos,boo2ax2c,boo,p44,1,FALSE,A
409,ech,echbulk,ech,p3,3,TRUE,A
410,ech,echbulk,ech,p3,1,TRUE,A
411,ech,echbulk,ech,p3,2,TRUE,A
412,ech,echbulk,ech,p3,0,TRUE,A
413,ech,echbulk,ech,p3,0,TRUE,A
414,ech,echbulk,ech,p3,1,TRUE,A
415,ech,echbulk,ech,p3,0,TRUE,A
416,ech,echbulk,ech,p3,1,TRUE,A
417,gos,ech27ax31a,ech,p6,1,FALSE,A
418,gos,ech27ax31a,ech,p6,1,FALSE,A
419,gos,ech27ax31a,ech,p6,0,FALSE,A
420,gos,ech27ax31a,ech,p6,0,FALSE,A
421,gos,ech27ax31a,ech,p6,0,FALSE,A
422,gos,ech27ax31a,ech,p6,0,FALSE,A
423,gos,ech27ax31a,ech,p6,0,FALSE,A
424,gos,ech27ax31a,ech,p6,1,FALSE,A
425,gos,ech27ax31a,ech,p6,0,FALSE,A
426,gos,ech27ax31a,ech,p6,1,FALSE,A
427,lau,echbulk,ech,p24,0,FALSE,M
428,lau,echbulk,ech,p24,0,FALSE,M
429,lau,echbulk,ech,p24,0,FALSE,M
430,lau,echbulk,ech,p24,0,FALSE,M
431,lau,echbulk,ech,p24,1,FALSE,M
432,lau,echbulk,ech,p24,0,FALSE,M
433,ech,boo11bx1a,boo,p24,4,FALSE,A
434,ech,boo11bx1a,boo,p24,3,FALSE,A
435,ech,boo11bx1a,boo,p24,2,FALSE,A
436,ech,boo11bx1a,boo,p24,0,FALSE,A
437,ech,boo11bx1a,boo,p24,1,FALSE,A
438,ech,boo11bx1a,boo,p24,3,FALSE,A
439,ech,boo11bx1a,boo,p24,1,FALSE,A
440,ech,boo11bx1a,boo,p24,1,FALSE,A
441,ech,boo11bx1a,boo,p24,1,FALSE,A
442,ech,boo11bx1a,boo,p24,2,FALSE,A
443,gos,boo2ax2c,boo,p24,0,FALSE,A
444,gos,boo2ax2c,boo,p24,2,FALSE,A
445,gos,boo2ax2c,boo,p24,2,FALSE,A
446,gos,boo2ax2c,boo,p24,3,FALSE,A
447,gos,boo2ax2c,boo,p24,1,FALSE,A
448,gos,boo2ax2c,boo,p24,0,FALSE,A
449,ech,echbulk,ech,p39,1,TRUE,A
450,ech,echbulk,ech,p39,1,TRUE,A
451,ech,echbulk,ech,p39,1,TRUE,A
452,ech,echbulk,ech,p39,2,TRUE,A
453,ech,echbulk,ech,p39,1,TRUE,A
454,ech,echbulk,ech,p39,1,TRUE,A
455,ech,echbulk,ech,p39,1,TRUE,A
456,ech,echbulk,ech,p39,1,TRUE,A
457,ech,echbulk,ech,p39,1,TRUE,A
458,gos,boo11bx1a,boo,p39,0,FALSE,A
459,gos,boo11bx1a,boo,p39,2,FALSE,A
460,gos,boo11bx1a,boo,p39,1,FALSE,A
461,gos,boo11bx1a,boo,p39,1,FALSE,A
462,gos,boo11bx1a,boo,p39,0,FALSE,A
463,gos,boo11bx1a,boo,p39,3,FALSE,A
464,gos,boo11bx1a,boo,p39,0,FALSE,A
465,gos,boo11bx1a,boo,p39,2,FALSE,A
466,gos,boo11bx1a,boo,p39,1,FALSE,A
467,gos,ech3ax1a,ech,p13,1,FALSE,A
468,gos,ech3ax1a,ech,p13,0,FALSE,A
469,gos,ech3ax1a,ech,p13,4,FALSE,A
470,gos,ech3ax1a,ech,p13,2,FALSE,A
471,gos,ech3ax1a,ech,p13,1,FALSE,A
472,gos,ech3ax1a,ech,p13,2,FALSE,A
473,gos,ech3ax1a,ech,p13,2,FALSE,A
474,gos,ech3ax1a,ech,p13,0,FALSE,A
